position,skills
Head/VP/GM/National Manager -Sales,"sales operations,sales management,operations management,retail operations,Retail Manager,store manager,National Sales,retail"
HR Manager,"Active Directory,Payroll,BPO,Tools,Staffing,Management,business process outsourcing,Support,MAR,Consultancy"
Events/Promotion Executive,"Online Promotion,BPO,online marketing,Freelancer,Internet Marketing,MBA Fresher,web marketing,Business Development,Part Time"
Industrial Engineer,"Help Desk,Customer Service,data analysis,customer relationship,access controls"
Software Developer,"lms,saba,database,DB,Learning management system"
Project Manager-Production/Manufacturing/Maintenance,"area,manager,leading,mechanical,team,sr"
Assistant Professor,"Counselor,Mentor,Trainer,Advisor,Teaching"
Sales Executive/Officer,"business development management,Sales Officer,Senior Sales Officer,Casa,Current Account,Saving Account,trade,Banking Sales,Insurance Sales"
HR Business Partner,"HR,HRBP,Succession Planning,performance management,talent management"
Cardiologist,"Cardiology,cardio"
Teacher/ Private Tutor,"Administration,Education,Teaching"
Pharmacist/Chemist/Bio Chemist,"Monitoring,Compliance,DGM,solutions,SPM,Duty Doctor,medical"
Software Developer,"java,Database,Android SDK,Web Services,Android"
Outside Consultant,"sap consulting,sd,mm,pp,abap,hana,sap fico,SAP CO,SAP ABAP,SAP Basis,SAP SD,SAP MM,SAP PP"
Testing Engineer,"data analysis,sql queries,test scenarios,software development,life cycle,data validation,automation testing,dwh testing,test cases,sql server,ETL Testing,stakeholder management,datawarehouse testing,dw testing"
Product Manager,"Product Strategy,product management,New Product Development,product manager,Business Analysis"
Process Engineer-Plant Design,"construction engineering,civil engineering,Site Engineering,project engineering"
Sales/Business Development Manager,"marketing management,sales,b2b sales,b2b marketing,engineering sales,chemical sales,Business Development,Corporate Sales,Institutional Sales,industrial sales"
HR Manager,"Administration,Recruitment,Payroll,Employee engagement,Manager HR Administrator,Assistant Manager HR"
Sales Executive/Officer,"sales executive activities,channel sales,Telecom Sales,dealer sales,retail sales,sales marketing,field work,corporate sales,direct sales"
Sales/Business Development Manager,"Strategy,Business Development Management"
Web Designer,"Graphics,CSS,User interface designing,Web development,CMS,Animation,HTML,Web designing,Photoshop,CSS3"
Team Lead/Technical Lead,"Magento,PHP,HTML,Javascript,XHTML,CMS,Web Technologies,Leadership Training,SQL,Management Skills"
Software Developer,"Client Management,Analytical Skills,Database Management,Problem Solving,SQL Database,Data Modeling,Management Skills,QlikView,ETL"
Events/Promotion Executive,"Manager Quality Assurance,Sales process,Event Coordinator,Supervisor,Packaging,Room,Management"
Software Developer,"C#,Java,Javascript,.Net,SQL Server"
Sales Executive/Officer,"pre sales,post sales,sales analytics,Sales Coordination,Accounts Receivable,sales administration,assistance,sales support,customer support,sales operations,MIS Reports,Order Management,Sales Presentations"
Associate/Senior Associate -(NonTechnical),"Customer Support,Customer Care,customer service,Telecalling,Customer Relationship,CRM,Problem Solving,Customer Experience,Operations,BPO,Domestic BPO,International Call Center,Back Office,Email Support,Captive,E - commerce"
Software Developer,"Core Java,Tomcat,Aop,Postgresql,Spring Framework,JPA,Spring Boot,J2Ee,Web Services,Microservices"
Sales/Business Development Manager,"ad sales,sales management,sales planning,advertising,revenue maximization,sales initiatives,event sales,sales,corporate business development,corporate sales,b2b sales,sponsorship,sponsorship sales"
Business Content Developer,Copy Editor
Data Analyst,"Artificial Intelligence,Machine Learning"
Branch Manager,"Customer Service,Sales,Branch Management,Providing Training,Branch,Distribution,Operations,Branch Banking,Branch Banking Operations"
Regional Manager,Gold Loan
Software Developer,"CSS,jQuery,Web technologies,PHP,E-commerce,HTML,Web designing,HR,Ajax"
Sales Trainer,Training
Apparel/Garment Designer,Fashion Designer
Business Analyst,"sfdc,project implementation,business analysis,business development,client management,Business Process Modeling,salesforce,client relationship management,solution design,business consultant,crm"
Sales Executive/Officer,"Sales Engineering,Electronics,Sales,direct sales,Wiring Harness,wire harness"
Associate/Senior Associate -(Technical),"JCL,Troubleshooting,Firewall,Interpersonal skills,Scheduling,MVS,Subject Matter Expert,Security operations,MPLS,Monitoring"
Accounts Executive/Accountant,"Accounting,Mba,Bcom,MCOM,Educational Qualification,Accounts Payable"
Sales/Business Development Manager,"Lead Generation,Sales,Consultative Sales,Concept Selling,Online Sales,Senior Management,B2B Sales,Enterprise Sales,Corporate Sales,Sales Planning"
Software Developer,"Configuration Management,Test Planning"
Software Developer,"PHP,API"
Sales / BD Manager,"Presentation Skills,Lead Generation,cold calling,Business Development Management"
Software Developer,"project management,PMO,projects,project manager,Scrum Master"
Finance/Budgeting Manager,"Data Analysis,Budget Preparation,Business Analysis"
Technical Architect,"Architect,CSS,Javascript,HTML,Web designing,Adobe,JIRA,axure"
Sales Executive/Officer,"Mutual Funds,Equity,Relationship Management,Demat,NISM,HNI,Insurance,Finance,Trading,Cross Selling,Stock Broking,Equity Dealer,Senior Equity Dealer"
Software Developer,"Algorithms,Mobile Applications,Mobile Development,Objective C,Swift,IOS,Object Oriented Programming,XCode,Interface Builder,Cocoa Touch"
Pharmacist/Chemist/Bio Chemist,"Assistant Manager,Pharma,Formulation,GMP,Capa,Email,Manager Quality Assurance,C,Water validation,Process validation"
Software Developer,"Objective C,IOS,Swift,C++,Cocoa Touch,IOT,AR"
Quality Assurance/Quality Control Executive,"Customer Quality,Improvement Activities,Problem Solving,IATF,Customer Complaints,Quality Tools,Quality Assurance,Inprocess Quality"
Sales/Business Development Manager,"Nursing Homes,Regional Business Manager,RSM,KAM,Area Business Manager,Regional Sales Manager,District Sales Manager,Critical Care,Area Sales Manager,RBM,Field Sales Manager,Key Accounts Manager"
Associate/Senior Associate -(Technical),"tech support,server,eps,networking,call center,windows,microsoft,technical support,router,voice process,active directory,vpn,lan,troubleshooting,ccna,exchange server,cisco,communication skills"
Service/Maintenance Supervisor,"repair,refrigeration,installation,maintenance"
Finance Executive,"Accounting,Mba Finance,Taxation,Auditing,Financial Reporting,Financial Statements,Banking,Financial Management,Income Tax,Funding,Gst,Excel,Account Management"
Back Office Executive,"domestic bpo,accountant,computer operator,back office,office assistant,back office executive,Hr Fresher,fresher,typing,data entry operator,undergraduate"
Associate/Senior Associate -(NonTechnical),Customer Service Executive
English Teacher,"Counselor,Mentor,Trainer,Advisor,Teaching"
Sales/Business Development Manager,"sales,telecom,Territory Sales,area sales,distribution handling,prepaid sales,channel sales,retail sales,retail operations"
Software Developer,"Dojo,CSS,Javascript,XHTML,HTML,JSON,Web Development,Grunt,Ajax,DHTML"
HR Executive,"Recruitment,Social Networking"
Head/VP/GM-Operations,"wealth management,telecom,investment nking,private nking,nbfc,commercial nking,smart,researcher,it"
Design Engineer,"Electrical & Instrumentation,Engineering,FEED,SCADA,VSAT,Pipeline,GAS"
Software Developer,"Node.js,MongoDB,React.js"
HR Executive,"induction,hr generalist,hr,human resource,Onboarding"
Software Developer,"CSS,Web Technologies,Wordpress,Javascript,HTML,Web Development"
Testing Engineer,"test engineering,java,automation testing,API Testing,Software Testing,Selenium"
Sales/Business Development Manager,"Business services,Process design,Team management,People development,Sales operations,Analytical,Back office,Customer service,Key account management,Operations"
Radiologist,"Radiologist,Consultant Radiologist,Specialist Radiologist,Radiology,Radiodiagnosis"
Trainee,"QA,Software Testing,Automation Testing,Manual Testing"
Project Manager-IT/Software,"Java,JMS,Data Quality,SOA,Database,Performance Tuning,Master Data,SOAP,User Exits,Interpersonal Skills"
Associate/Senior Associate -(NonTechnical),language specialist
Technical Architect,"Ccie,Networking,Ddos,Juniper,CCNA,Routing Protocols,CCNP,Network Architecture,Fortinet,MPLS"
Client Servicing/Key Account Manager,"Alternate sourcing,External audit,Customer satisfaction,Underwriting,Relationship,indirect sourcing,Management,Lead management,Servicing,Sales achievement"
Telecalling/Telemarketing Executive,"corporate,phone,personal,industry,accounts,interview"
Outside Consultant,"PowerShell,Java,RPA,Automation Anywhere,Project Management,Technical Support,.Net,VB"
Sales Executive/Officer,"sales executive activities,telesales,business development"
Construction-Residential,"Boq Preparation,Site Supervision,Kitchen,Modular Kitchen"
Associate/Senior Associate -(NonTechnical),"BPO,telecaller,customer service,call center,Non Voice,English,Customer Support,voice process,Technical Support,Domestic BPO,Hindi,Fresher,International Voice,customer care executive,International BPO"
Head/VP/GM/National Manager -Sales,"Ticketing,Customer support,Logistics,Customer Service Representative,MIS reporting,Root cause analysis,Hardware support,Data analytics,Hardware,Productivity improvement"
Software Developer,"front end,css,ui developer,html5,ui development,javascript,jquery,grunt,Bootstrap,user interface developer,html,angularjs"
Special Education Teacher,School
Project Manager-Production/Manufacturing/Maintenance,"UART,Embedded C,I2C,SPI,Timers,Adc,Embedded Development,LCD,Firmware,Hardware Design"
Content Developer,"Content Writing,content developer,HTML"
Associate/Senior Associate -(Technical),"Outbound,Service,Technical support,Target,process,Issue,Inbound calls,Bonus,Business Executive,Comp"
Mechanical Engineer-HVAC,"Project Execution,HVAC,Project Management,air conditioning,Project Manager"
Functional Outside Consultant,"Business process,Outbound,SAP implementation,Packaging,VAS,Application development,Outsourcing,Warehouse management,Operations"
Sales Officer,"Customer acquisition,Compliance,Banking,Consulting,Relationship,Business strategy,Management,banking products,Monitoring"
Production Manager,"Chemical,process control,DCS Operation,petrochemical"
Technical Lead/Project Lead,"Software Development,C,Hardware Design,Linux,Design Patterns,Software Architecture,Electronics Engineering,Firmware,Middleware,Electricals,Device Driver Development,IOT"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Technical support,Sales,Technical,Inbound calls,US shift,Customer Service Associate,Comp,International BPO"
Copywriter,"Branding,Digital marketing,Social media,Banners,Brand strategy,Marketing campaigns,Agency,Content,creative content,blogs"
Sales/Business Development Manager,Business Development
Software Developer,"XML,MySQL,Hibernate,Ajax,JSON,Analytical,J2Ee,Computer networking,Web services,Spring"
Sales/Business Development Manager-Derivatives,"Sales,Banking Sales"
Medical Officer,"TPA,Medical,Hospital"
Software Developer,"C#,asp dot net,c sharp,ADO.Net,asp.net,.Net,MVC,dot net"
HR Executive,"us it recruitment,us it staffing,us recruitment,us recruiter,us it recruiter"
Head/VP/GM/National Manager -Sales,"Business Development Manager,Client management,Wholesale,Brand awareness,Photoshop,Illustrator,Art Director,adobe creative suite,Retail business,PDF"
